Date,Store,Daily Sales,Industry Average,Global Average
2025-01-01,North,14364,13086.25,13271.55
2025-01-01,South,13891,13086.25,13271.55
2025-01-01,East,9290,13086.25,13271.55
2025-01-01,West,14800,13086.25,13271.55
2025-01-02,North,12177,11357.5,11039.36
2025-01-02,South,12365,11357.5,11039.36
2025-01-02,East,12529,11357.5,11039.36
2025-01-02,West,8359,11357.5,11039.36
2025-01-03,North,14472,11463.5,11433.74
2025-01-03,South,8403,11463.5,11433.74
2025-01-03,East,13960,11463.5,11433.74
2025-01-03,West,9019,11463.5,11433.74
2025-01-04,North,11133,13281.0,13840.83
2025-01-04,South,13717,13281.0,13840.83
2025-01-04,East,14085,13281.0,13840.83
2025-01-04,West,14189,13281.0,13840.83
2025-01-05,North,10966,10810.5,11052.59
2025-01-05,South,12728,10810.5,11052.59
2025-01-05,East,9134,10810.5,11052.59
2025-01-05,West,10414,10810.5,11052.59
2025-01-06,North,14143,12307.75,12527.79
2025-01-06,South,14526,12307.75,12527.79
2025-01-06,East,11998,12307.75,12527.79
2025-01-06,West,8564,12307.75,12527.79
2025-01-07,North,9411,11849.0,12034.11
2025-01-07,South,12513,11849.0,12034.11
2025-01-07,East,11527,11849.0,12034.11
2025-01-07,West,13945,11849.0,12034.11
2025-01-08,North,11662,11507.75,11319.75
2025-01-08,South,13017,11507.75,11319.75
2025-01-08,East,13065,11507.75,11319.75
2025-01-08,West,8287,11507.75,11319.75
2025-01-09,North,10881,10947.0,10448.42
2025-01-09,South,14158,10947.0,10448.42
2025-01-09,East,8585,10947.0,10448.42
2025-01-09,West,10164,10947.0,10448.42
2025-01-10,North,13384,12548.25,11980.03
2025-01-10,South,13906,12548.25,11980.03
2025-01-10,East,10364,12548.25,11980.03
2025-01-10,West,12539,12548.25,11980.03
2025-01-11,North,13707,11772.0,12138.07
2025-01-11,South,13569,11772.0,12138.07
2025-01-11,East,10652,11772.0,12138.07
2025-01-11,West,9160,11772.0,12138.07
2025-01-12,North,10716,11100.0,10930.53
2025-01-12,South,10871,11100.0,10930.53
2025-01-12,East,11681,11100.0,10930.53
2025-01-12,West,11132,11100.0,10930.53
2025-01-13,North,9888,12105.75,11831.13
2025-01-13,South,13630,12105.75,11831.13
2025-01-13,East,12967,12105.75,11831.13
2025-01-13,West,11938,12105.75,11831.13
2025-01-14,North,8566,10614.5,11117.68
2025-01-14,South,11698,10614.5,11117.68
2025-01-14,East,13379,10614.5,11117.68
2025-01-14,West,8815,10614.5,11117.68
2025-01-15,North,9081,12142.25,11851.19
2025-01-15,South,11364,12142.25,11851.19
2025-01-15,East,13474,12142.25,11851.19
2025-01-15,West,14650,12142.25,11851.19
2025-01-16,North,10726,10098.5,9886.76
2025-01-16,South,8050,10098.5,9886.76
2025-01-16,East,12367,10098.5,9886.76
2025-01-16,West,9251,10098.5,9886.76
2025-01-17,North,9706,11518.75,11470.06
2025-01-17,South,10769,11518.75,11470.06
2025-01-17,East,12058,11518.75,11470.06
2025-01-17,West,13542,11518.75,11470.06
2025-01-18,North,12053,11510.75,11813.74
2025-01-18,South,9195,11510.75,11813.74
2025-01-18,East,13923,11510.75,11813.74
2025-01-18,West,10872,11510.75,11813.74
2025-01-19,North,10150,11286.0,11170.04
2025-01-19,South,9525,11286.0,11170.04
2025-01-19,East,11316,11286.0,11170.04
2025-01-19,West,14153,11286.0,11170.04
2025-01-20,North,12578,10905.75,10490.37
2025-01-20,South,8749,10905.75,10490.37
2025-01-20,East,10301,10905.75,10490.37
2025-01-20,West,11995,10905.75,10490.37
2025-01-21,North,12930,10929.0,11455.82
2025-01-21,South,12516,10929.0,11455.82
2025-01-21,East,8318,10929.0,11455.82
2025-01-21,West,9952,10929.0,11455.82
2025-01-22,North,13465,11765.5,12261.65
2025-01-22,South,10540,11765.5,12261.65
2025-01-22,East,10545,11765.5,12261.65
2025-01-22,West,12512,11765.5,12261.65
2025-01-23,North,8126,11245.0,11279.2
2025-01-23,South,12925,11245.0,11279.2
2025-01-23,East,10916,11245.0,11279.2
2025-01-23,West,13013,11245.0,11279.2
2025-01-24,North,13061,13016.75,13397.66
2025-01-24,South,14975,13016.75,13397.66
2025-01-24,East,10012,13016.75,13397.66
2025-01-24,West,14019,13016.75,13397.66
2025-01-25,North,10275,10881.75,10395.5
2025-01-25,South,8196,10881.75,10395.5
2025-01-25,East,14930,10881.75,10395.5
2025-01-25,West,10126,10881.75,10395.5
2025-01-26,North,8457,10465.5,10208.23
2025-01-26,South,10113,10465.5,10208.23
2025-01-26,East,12451,10465.5,10208.23
2025-01-26,West,10841,10465.5,10208.23
2025-01-27,North,11504,10722.5,10802.72
2025-01-27,South,11067,10722.5,10802.72
2025-01-27,East,9910,10722.5,10802.72
2025-01-27,West,10409,10722.5,10802.72
2025-01-28,North,10818,11052.0,10626.12
2025-01-28,South,13366,11052.0,10626.12
2025-01-28,East,10251,11052.0,10626.12
2025-01-28,West,9773,11052.0,10626.12
2025-01-29,North,10085,10013.25,10055.77
2025-01-29,South,8942,10013.25,10055.77
2025-01-29,East,9267,10013.25,10055.77
2025-01-29,West,11759,10013.25,10055.77
2025-01-30,North,11755,11004.5,11060.82
2025-01-30,South,9728,11004.5,11060.82
2025-01-30,East,9863,11004.5,11060.82
2025-01-30,West,12672,11004.5,11060.82
2025-01-31,North,13160,11845.0,12154.72
2025-01-31,South,10332,11845.0,12154.72
2025-01-31,East,13039,11845.0,12154.72
2025-01-31,West,10849,11845.0,12154.72
